local_authority_name,year_quarter,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,LGVs,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs,all_motor_vehicles,year,region_id,region_name,region_ons_code,local_authority_id,local_authority_code,easting,northing,latitude,longitude,count_records
Barnet,2002Q3,140.0,1367.0,85273.0,1372.0,10762.0,1494.0,152.0,213.0,113.0,142.0,131.0,2245.0,101019.0,2002.0,6.0,London,E12000007,57.0,E09000003,"522500, 521000, 523600, 520050, 523100","189060, 189540, 195000, 190570, 189400","51.601187135, 51.587089681, 51.589905281, 51.640341615, 51.591727288","-0.217216846, -0.254680946, -0.222465543, -0.268035952, -0.233205841",120.0
Barnet,2002Q4,131.0,2135.0,134632.0,1978.0,22237.0,3471.0,416.0,759.0,419.0,886.0,765.0,6716.0,167698.0,2002.0,6.0,London,E12000007,57.0,E09000003,"522400, 523500, 518000, 522000, 521500, 520150, 520700, 522751","193250, 195460, 193200, 194160, 187380, 188500, 192600, 194300","51.619292236, 51.571936874, 51.634687942, 51.582078635, 51.625256573, 51.624961872, 51.632705018, 51.644715081","-0.265315076, -0.257957228, -0.296736445, -0.230171368, -0.234843572, -0.246182299, -0.216984199, -0.238193405",192.0
Barnet,2003Q1,115.0,1469.0,54252.0,798.0,8608.0,968.0,181.0,184.0,80.0,71.0,52.0,1536.0,66663.0,2003.0,6.0,London,E12000007,57.0,E09000003,"519000, 524000, 520797","192132, 187540, 191950","51.573101741, 51.613812159, 51.615065476","-0.282721259, -0.212102024, -0.256717991",72.0
Barnet,2003Q2,1011.0,7879.0,404323.0,5866.0,70465.0,10976.0,1581.0,2519.0,1365.0,2242.0,1747.0,20430.0,508963.0,2003.0,6.0,London,E12000007,57.0,E09000003,"528000, 524300, 526100, 521110, 527000, 519450, 522280, 527480, 527550, 524870, 522440, 527310, 523600, 528724, 520150, 523990, 525400, 524000, 524640, 523500, 524526, 521330, 523000, 526330","188800, 188930, 197000, 188815, 193170, 193939, 196000, 192800, 193060, 191270, 190000, 187700, 196420, 189400, 195810, 197475, 193000, 189550, 194160, 192880, 190330, 194300","51.621652679, 51.634687942, 51.574914992, 51.595550533, 51.605830878, 51.58617424, 51.649760277, 51.62135608, 51.65290542, 51.646684482, 51.584444244, 51.620315221, 51.629549098, 51.590036454, 51.595017653, 51.583757877, 51.622803428, 51.59529746, 51.662245079, 51.658051581, 51.632705018, 51.622243414, 51.590855961, 51.598177526","-0.265315076, -0.236852872, -0.159550095, -0.250130225, -0.250862871, -0.275935763, -0.208963505, -0.199341371, -0.216984199, -0.168381002, -0.233743813, -0.191193955, -0.176534506, -0.204423267, -0.179833518, -0.152362382, -0.225873427, -0.217005718, -0.198680671, -0.161365093, -0.159975332, -0.211261795, -0.14162732, -0.204064313",576.0
Barnet,2003Q3,367.0,2425.0,110749.0,2261.0,15584.0,1784.0,366.0,470.0,281.0,312.0,357.0,3570.0,134589.0,2003.0,6.0,London,E12000007,57.0,E09000003,"523400, 525070, 521840, 523000, 523100","192000, 189000, 188400, 195510, 195000, 186300","51.586354282, 51.581049435, 51.644490667, 51.613654631, 51.561721854, 51.640341615","-0.226223456, -0.220242854, -0.241707328, -0.193829849, -0.197111234, -0.222465543",144.0
Barnet,2003Q4,219.0,630.0,47818.0,1814.0,6067.0,670.0,94.0,105.0,41.0,41.0,26.0,977.0,57306.0,2003.0,6.0,London,E12000007,57.0,E09000003,"525000, 520000, 522820, 528000","196120, 189530, 192460, 195670","51.61818356, 51.649988146, 51.591243994, 51.645269868","-0.194623213, -0.228424964, -0.268111221, -0.15144916",96.0
Barnet,2004Q1,29.0,618.0,22807.0,123.0,4319.0,605.0,117.0,69.0,86.0,130.0,68.0,1075.0,28942.0,2004.0,6.0,London,E12000007,57.0,E09000003,"524100, 520797","189400, 192132","51.615065476, 51.589795483","-0.210003079, -0.256717991",48.0
Barnet,2004Q2,919.0,7926.0,363908.0,5359.0,64422.0,9996.0,1779.0,1870.0,1200.0,2376.0,1970.0,19191.0,460806.0,2004.0,6.0,London,E12000007,57.0,E09000003,"528000, 524430, 526100, 527000, 521000, 526000, 520760, 522170, 527550, 520000, 526030, 527310, 528724, 523990, 526300, 524130, 524526, 523380, 527480","192800, 188800, 195810, 191620, 192100, 191270, 193060, 191400, 189000, 189100, 192140, 188815, 190000, 192880, 193939, 187700, 195000, 190330","51.640848414, 51.621025307, 51.587520736, 51.60865715, 51.605830878, 51.595114917, 51.609324865, 51.639693324, 51.613547226, 51.586194107, 51.583757877, 51.61357135, 51.622243414, 51.646684482, 51.629549098, 51.598177526, 51.584444244, 51.620315221, 51.574675556","-0.268473779, -0.253557068, -0.256264113, -0.159550095, -0.181794519, -0.180146523, -0.14162732, -0.168381002, -0.204064313, -0.237952792, -0.220987695, -0.205029473, -0.152738285, -0.179833518, -0.161365093, -0.159975332, -0.209711573, -0.177291709, -0.211261795",444.0
Barnet,2004Q3,219.0,1496.0,81109.0,1349.0,11710.0,1964.0,262.0,329.0,261.0,456.0,544.0,3816.0,99480.0,2004.0,6.0,London,E12000007,57.0,E09000003,"522820, 525070, 520150, 521750, 523100","188400, 195510, 195000, 189530, 194300","51.581320575, 51.634687942, 51.640341615, 51.591243994, 51.644490667","-0.265315076, -0.244254655, -0.228424964, -0.222465543, -0.193829849",120.0
Barnet,2004Q4,276.0,2358.0,108845.0,2266.0,20434.0,2926.0,602.0,514.0,251.0,463.0,374.0,5130.0,139033.0,2004.0,6.0,London,E12000007,57.0,E09000003,"524000, 526400, 525000, 525870, 521200","192100, 186440, 193900, 190000, 187540, 192030","51.562995526, 51.573101741, 51.59479532, 51.630037489, 51.614062257, 51.613548928","-0.212102024, -0.18425171, -0.198070795, -0.250935592, -0.195415409, -0.175848233",132.0
Barnet,2005Q1,505.0,3576.0,177389.0,3437.0,29734.0,4568.0,658.0,667.0,470.0,757.0,934.0,8055.0,222191.0,,,,,,,,,,,
Barnet,2005Q2,1082.0,8901.0,417918.0,7052.0,71584.0,11659.0,1680.0,1738.0,1283.0,2113.0,2600.0,21073.0,526528.0,2005.0,6.0,London,E12000007,57.0,E09000003,"528000, 523781, 526100, 527000, 519450, 521000, 526000, 522170, 524860, 527550, 522440, 525000, 527310, 523600, 526930, 528724, 520150, 523990, 524526, 521840, 520050, 527480, 526330","188800, 192000, 189830, 192140, 188815, 193939, 192800, 193060, 191270, 189100, 190000, 188114, 188120, 190300, 195810, 189540, 193000, 190570, 192880, 190330, 194300","51.634687942, 51.587520736, 51.601187135, 51.621652679, 51.593238532, 51.578093523, 51.591727288, 51.605830878, 51.613547226, 51.629549098, 51.584444244, 51.620315221, 51.62135608, 51.583757877, 51.613654631, 51.594557711, 51.59529746, 51.578308347, 51.597715928, 51.622243414, 51.646684482, 51.595550533, 51.598177526","-0.268035952, -0.265315076, -0.182436946, -0.254680946, -0.159550095, -0.275935763, -0.168381002, -0.168957215, -0.241707328, -0.14162732, -0.237952792, -0.233743813, -0.176534506, -0.197473696, -0.152738285, -0.179833518, -0.161365093, -0.215058416, -0.198718298, -0.217005718, -0.159975332, -0.211261795, -0.204064313",552.0
Barnet,2005Q3,138.0,473.0,42649.0,1195.0,5630.0,470.0,42.0,44.0,3.0,5.0,9.0,573.0,50520.0,2005.0,6.0,London,E12000007,57.0,E09000003,"520000, 528000, 522820, 525070, 523100","192460, 193170, 195510, 195000, 189530","51.622803428, 51.61818356, 51.640341615, 51.591243994, 51.644490667","-0.268111221, -0.193829849, -0.228424964, -0.222465543, -0.152362382",120.0
Barnet,2005Q4,294.0,1353.0,71600.0,2065.0,11988.0,1576.0,251.0,220.0,124.0,153.0,194.0,2518.0,89524.0,2005.0,6.0,London,E12000007,57.0,E09000003,"523000, 524000, 528000","188400, 196420, 195670, 185870","51.645269868, 51.581049435, 51.55809348, 51.65290542","-0.226223456, -0.212690649, -0.208963505, -0.15144916",96.0
Barnet,2006Q1,111.0,315.0,18418.0,672.0,2630.0,311.0,25.0,24.0,16.0,17.0,14.0,407.0,22442.0,2006.0,6.0,London,E12000007,57.0,E09000003,"520797, 526030","195000, 192132","51.615065476, 51.639693324","-0.180146523, -0.256717991",48.0
Barnet,2006Q2,440.0,4806.0,233481.0,3114.0,43568.0,6126.0,1109.0,1101.0,560.0,1060.0,1231.0,11187.0,296156.0,2006.0,6.0,London,E12000007,57.0,E09000003,"524000, 525000, 521230, 527310, 522000, 524526, 523380, 526100, 521110, 528724, 527000, 523990, 527480","196000, 188800, 195810, 195460, 193060, 193900, 187470, 188815, 192880, 193939, 187540, 187700, 190330, 196540","51.629549098, 51.598177526, 51.584444244, 51.620315221, 51.572252041, 51.630037489, 51.573101741, 51.649760277, 51.574675556, 51.583757877, 51.654587436, 51.644715081, 51.622243414, 51.646684482","-0.212102024, -0.195415409, -0.220987695, -0.250862871, -0.197704778, -0.168381002, -0.24894224, -0.238193405, -0.179833518, -0.161365093, -0.14162732, -0.159975332, -0.204064313, -0.211261795",336.0
Barnet,2006Q3,276.0,2879.0,135181.0,1162.0,30113.0,5016.0,835.0,706.0,444.0,1088.0,957.0,9046.0,178381.0,2006.0,6.0,London,E12000007,57.0,E09000003,"524900, 524430, 525070, 524500, 523100","195000, 190000, 189330, 195510, 189400","51.589618885, 51.640341615, 51.589078242, 51.644490667, 51.595114917","-0.204256905, -0.193829849, -0.222465543, -0.198461147, -0.205029473",120.0
Barnet,2006Q4,848.0,5596.0,245852.0,2831.0,51290.0,7865.0,1040.0,1455.0,854.0,1825.0,1616.0,14655.0,320224.0,2006.0,6.0,London,E12000007,57.0,E09000003,"518400, 526500, 522820, 525870, 518000, 517650, 526930, 520150, 520760, 526620, 527550","191270, 190600, 191000, 190000, 193200, 193300, 195000, 189530, 194300, 194270","51.591243994, 51.640848414, 51.634687942, 51.605830878, 51.634946204, 51.603641086, 51.594557711, 51.625256573, 51.626071365, 51.59479532, 51.600019451","-0.265315076, -0.174801282, -0.159550095, -0.301431093, -0.256264113, -0.168957215, -0.296736445, -0.290926928, -0.18425171, -0.173213762, -0.228424964",264.0
Barnet,2007Q1,246.0,1432.0,75266.0,1584.0,14656.0,2195.0,254.0,508.0,268.0,475.0,532.0,4232.0,97170.0,2007.0,6.0,London,E12000007,57.0,E09000003,"525000, 523500, 520150, 526330, 520797","190400, 192132, 193000, 194160, 194300","51.598583593, 51.634687942, 51.615065476, 51.632705018, 51.621652679","-0.265315076, -0.196662514, -0.216984199, -0.256717991, -0.176534506",120.0
Barnet,2007Q2,1040.0,6845.0,283003.0,5488.0,52283.0,5892.0,983.0,1349.0,607.0,956.0,915.0,10702.0,358321.0,2007.0,6.0,London,E12000007,57.0,E09000003,"524000, 528000, 527400, 525000, 527000, 527310, 524526, 521840, 523600, 526100, 528724, 523990, 519000, 522170, 527480","188800, 192000, 186050, 195810, 196420, 193060, 189100, 192140, 191950, 188815, 190000, 192880, 193170, 193939, 187540, 195670, 188950, 190330","51.622803428, 51.59529746, 51.622243414, 51.646684482, 51.629549098, 51.598177526, 51.584444244, 51.620315221, 51.613812159, 51.587520736, 51.585015687, 51.645269868, 51.573101741, 51.613547226, 51.559490627, 51.65290542, 51.583757877, 51.613654631","-0.237952792, -0.282721259, -0.162556539, -0.212102024, -0.15144916, -0.152738285, -0.198209332, -0.208963505, -0.168381002, -0.241707328, -0.14162732, -0.179833518, -0.161365093, -0.159975332, -0.152362382, -0.217005718, -0.204064313, -0.211261795",432.0
Barnet,2007Q3,267.0,2770.0,126848.0,1665.0,24407.0,3294.0,510.0,736.0,338.0,781.0,645.0,6304.0,161994.0,2007.0,6.0,London,E12000007,57.0,E09000003,"522440, 524969, 525070, 523000, 523100, 527550","190529, 191270, 190000, 188400, 195510, 195000","51.581049435, 51.595550533, 51.644490667, 51.599749769, 51.605830878, 51.640341615","-0.233743813, -0.193829849, -0.159550095, -0.197063936, -0.226223456, -0.222465543",144.0
Barnet,2007Q4,326.0,1903.0,120219.0,2757.0,22047.0,3212.0,439.0,686.0,274.0,656.0,475.0,5742.0,152668.0,2007.0,6.0,London,E12000007,57.0,E09000003,"520000, 522820, 523400, 525000, 525400, 519450, 522300","192800, 190660, 189000, 192460, 189550, 196120, 189530","51.649988146, 51.590855961, 51.601512365, 51.61818356, 51.586354282, 51.62135608, 51.591243994","-0.191193955, -0.220242854, -0.235534069, -0.268111221, -0.194623213, -0.275935763, -0.228424964",168.0
Barnet,2008Q1,19.0,42.0,3087.0,60.0,410.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,3650.0,2008.0,6.0,London,E12000007,57.0,E09000003,527600,194000,51.63035307,-0.157835282,24.0
Barnet,2008Q2,821.0,5065.0,263836.0,4583.0,45223.0,7894.0,1125.0,1318.0,499.0,768.0,1447.0,13051.0,331758.0,2008.0,6.0,London,E12000007,57.0,E09000003,"523791, 526100, 524824, 527000, 519450, 525467, 526253, 528814, 526000, 520000, 525000, 528329, 527310, 524367, 528724, 520150, 523990, 520797, 526306, 524900, 526569, 524526, 521200, 521970, 521843, 522739, 527480","188800, 191620, 192132, 188815, 193939, 190105, 191773, 192030, 190330, 192800, 193060, 191400, 188590, 189103, 191291, 193491, 189400, 188000, 194528, 195810, 193900, 192238, 187888, 192880, 196339, 196346, 194300","51.630037489, 51.634687942, 51.589618885, 51.609324865, 51.62135608, 51.583757877, 51.614062257, 51.577678215, 51.622243414, 51.595641438, 51.584444244, 51.620315221, 51.629549098, 51.615065476, 51.646684482, 51.611189393, 51.6157929, 51.625502556, 51.606487115, 51.582813816, 51.652096498, 51.586648556, 51.652058222, 51.60865715, 51.598177526, 51.634932325, 51.575658808","-0.265315076, -0.268473779, -0.198461147, -0.181794519, -0.275935763, -0.168381002, -0.250935592, -0.241219933, -0.179047848, -0.147115269, -0.256717991, -0.177922979, -0.195415409, -0.179833518, -0.24158136, -0.161365093, -0.203690061, -0.1896052, -0.14049239, -0.229921996, -0.197085209, -0.213624495, -0.159975332, -0.211261795, -0.14162732, -0.204064313, -0.174926685",636.0
Barnet,2008Q3,147.0,2422.0,145534.0,1645.0,26220.0,7340.0,1619.0,1296.0,221.0,770.0,1315.0,12561.0,188382.0,2008.0,6.0,London,E12000007,57.0,E09000003,"524130, 525070, 525680, 520760, 523100, 522751","189000, 190000, 187380, 195510, 195000","51.594837699, 51.571936874, 51.640848414, 51.644490667, 51.586194107, 51.640341615","-0.256264113, -0.186993199, -0.230171368, -0.193829849, -0.209711573, -0.222465543",144.0
Barnet,2008Q4,319.0,2506.0,113417.0,2160.0,19978.0,4775.0,542.0,519.0,118.0,333.0,595.0,6882.0,144943.0,2008.0,6.0,London,E12000007,57.0,E09000003,"524000, 522820, 523598, 526030, 521265, 527550","191270, 189927, 187540, 192855, 195000, 189530","51.605830878, 51.573101741, 51.591243994, 51.639693324, 51.59464185, 51.621462618","-0.212102024, -0.180146523, -0.228424964, -0.217060267, -0.159550095, -0.249712057",144.0
Barnet,2009Q1,16.0,108.0,17852.0,190.0,3040.0,470.0,97.0,82.0,32.0,47.0,128.0,856.0,22046.0,2009.0,6.0,London,E12000007,57.0,E09000003,"527600, 518540, 520797","193000, 192132, 194000","51.63035307, 51.623345743, 51.615065476","-0.289006811, -0.256717991, -0.157835282",72.0
Barnet,2009Q2,713.0,10777.0,529051.0,7956.0,93144.0,23792.0,3621.0,3956.0,508.0,1748.0,5102.0,38727.0,679655.0,2009.0,6.0,London,E12000007,57.0,E09000003,"518400, 522500, 523781, 526990, 527504, 526100, 521110, 527000, 527135, 521000, 525870, 520760, 524100, 525000, 527310, 524500, 528724, 520150, 523990, 525800, 519146, 524526, 521840, 521330, 527347, 523380, 521331, 527480, 526330","188800, 192000, 188930, 189060, 188815, 192656, 193939, 193300, 192800, 196000, 193060, 193070, 190000, 187700, 195380, 195000, 186050, 188114, 189400, 196700, 195425, 195810, 195811, 191980, 194797, 192880, 188533, 190330, 194300","51.640848414, 51.634687942, 51.621025307, 51.58617424, 51.649760277, 51.559490627, 51.583757877, 51.613654631, 51.655311322, 51.646733025, 51.584444244, 51.620315221, 51.637572676, 51.620126294, 51.642776332, 51.629549098, 51.589795483, 51.626071365, 51.587089681, 51.59479532, 51.578308347, 51.612486217, 51.622243414, 51.646684482, 51.64329692, 51.574675556, 51.598177526, 51.582606132, 51.622400355","-0.265315076, -0.253557068, -0.250130225, -0.256264113, -0.250862871, -0.168381002, -0.241707328, -0.201640176, -0.176901876, -0.290926928, -0.280373848, -0.250252864, -0.158719299, -0.220987695, -0.198209332, -0.179833518, -0.161365093, -0.233205841, -0.215058416, -0.210003079, -0.166127165, -0.163892634, -0.161198943, -0.1841612, -0.159975332, -0.211261795, -0.14162732, -0.18425171, -0.204064313",696.0
Barnet,2009Q3,413.0,4014.0,189938.0,2184.0,33452.0,6719.0,1110.0,1323.0,63.0,722.0,1609.0,11546.0,241134.0,2009.0,6.0,London,E12000007,57.0,E09000003,"524000, 523168, 524130, 524900, 522820, 521230, 525070, 526650, 526620, 526973","192449, 196162, 189000, 190600, 187540, 195510, 189400, 189530, 196540, 192031","51.600019451, 51.589618885, 51.573101741, 51.654587436, 51.586194107, 51.644490667, 51.591243994, 51.617401079, 51.612872712, 51.6499239","-0.212102024, -0.173213762, -0.24894224, -0.198461147, -0.209711573, -0.193829849, -0.228424964, -0.222379761, -0.172264461, -0.166105464",240.0
Barnet,2009Q4,346.0,3979.0,220760.0,3004.0,37390.0,6738.0,1378.0,1369.0,88.0,701.0,2008.0,12282.0,277415.0,2009.0,6.0,London,E12000007,57.0,E09000003,"524870, 522440, 522280, 523000, 525400, 519161, 519450, 523292, 527550","192800, 193029, 191270, 189550, 190000, 188400, 187700, 189431","51.590855961, 51.581049435, 51.595550533, 51.605830878, 51.574914992, 51.62135608, 51.595017653, 51.590251293, 51.623475356","-0.233743813, -0.226223456, -0.159550095, -0.191193955, -0.236852872, -0.275935763, -0.198680671, -0.22164967, -0.280030535",216.0
Barnet,2010Q1,500.0,1828.0,122681.0,3676.0,16060.0,3046.0,386.0,428.0,48.0,139.0,248.0,4295.0,148540.0,2010.0,6.0,London,E12000007,57.0,E09000003,"524000, 522280, 523600, 520050, 523000","196420, 190570, 187540, 187700, 189400","51.589905281, 51.573101741, 51.574914992, 51.65290542, 51.601187135, 51.590036454","-0.212102024, -0.208963505, -0.236852872, -0.217216846, -0.268035952, -0.225873427",144.0
Barnet,2010Q2,726.0,6139.0,404747.0,5200.0,67301.0,25529.0,2469.0,5906.0,415.0,936.0,3103.0,38358.0,521745.0,2010.0,6.0,London,E12000007,57.0,E09000003,"518400, 522440, 525800, 519146, 523791, 523000, 521200, 517650, 527347, 523380, 527504, 521110, 521750, 520760, 519450, 525467, 522751","196000, 192800, 192030, 194797, 193070, 190000, 188400, 192656, 187380, 187700, 193300, 195380, 195000, 191291, 191773, 194270","51.626071365, 51.611189393, 51.606487115, 51.637572676, 51.620126294, 51.642776332, 51.622400355, 51.574675556, 51.571936874, 51.581049435, 51.640848414, 51.595550533, 51.649760277, 51.62135608, 51.581320575, 51.634946204, 51.614062257","-0.256264113, -0.226223456, -0.220987695, -0.233743813, -0.230171368, -0.250862871, -0.275935763, -0.244254655, -0.301431093, -0.250935592, -0.161198943, -0.158719299, -0.1841612, -0.1896052, -0.290926928, -0.213624495, -0.280373848",408.0
Barnet,2010Q3,566.0,5299.0,344298.0,2961.0,61309.0,14013.0,2174.0,2609.0,513.0,1536.0,1892.0,22737.0,436604.0,2010.0,6.0,London,E12000007,57.0,E09000003,"523168, 524130, 524900, 523781, 521000, 521840, 526930, 524500, 525400","192800, 192000, 192449, 189000, 189550, 190000, 189330, 188114, 189400","51.586194107, 51.590855961, 51.621025307, 51.589078242, 51.589618885, 51.613654631, 51.594557711, 51.578308347, 51.617401079","-0.204256905, -0.253557068, -0.191193955, -0.198461147, -0.209711573, -0.241707328, -0.168957215, -0.215058416, -0.222379761",216.0
Barnet,2010Q4,114.0,1370.0,114531.0,975.0,19307.0,3075.0,647.0,741.0,2.0,470.0,861.0,5796.0,141979.0,2010.0,6.0,London,E12000007,57.0,E09000003,"522500, 523500, 521265, 523292, 527550","189060, 191270, 194160, 189431, 192855","51.587089681, 51.605830878, 51.590251293, 51.621462618, 51.632705018","-0.159550095, -0.216984199, -0.22164967, -0.249712057, -0.233205841",120.0
Barnet,2011Q1,684.0,4605.0,226498.0,3833.0,39465.0,9308.0,1823.0,2213.0,421.0,1183.0,1844.0,16792.0,291193.0,,,,,,,,,,,
